,sample,from,from_size,to,to_size,weight,p,qValue,Sig
6,S16,IGHG3,80,IGHG2,35,0,1.0,1.0,
7,S16,IGHG3,80,IGHA1,627,4,0.41409484660068174,0.644147539156616,
8,S16,IGHG3,80,IGHA2,34,0,1.0,1.0,
9,S16,IGHG1,466,IGHG2,35,13,8.000017534714014e-08,1.120002454859962e-06,*
10,S16,IGHG1,466,IGHA1,627,69,2.5224442733755335e-06,1.1771406609085822e-05,*
11,S16,IGHG1,466,IGHA2,34,4,0.1610194313060399,0.32203886261207987,
12,S16,IGHG2,35,IGHA1,627,8,0.007407741776723304,0.025927096218531565,*
13,S16,IGHG2,35,IGHA2,34,0,1.0,1.0,
0,S2,IGHM,3755,IGHG3,313,158,7.450982276998382e-24,3.477125062599245e-23,*
1,S2,IGHM,3755,IGHG1,1985,835,3.316900798127833e-78,4.643661117378966e-77,*
2,S2,IGHM,3755,IGHG2,96,44,3.9427077631861565e-06,9.199651447434365e-06,*
3,S2,IGHM,3755,IGHA1,1586,363,0.1555154246760152,0.19792872231492845,
4,S2,IGHM,3755,IGHA2,40,17,0.014708446767938557,0.022879806083459978,*
5,S2,IGHG3,313,IGHG1,1985,124,2.5992760277761047e-33,1.8194932194432732e-32,*
6,S2,IGHG3,313,IGHG2,96,7,0.003381978474113344,0.005918462329698352,*
7,S2,IGHG3,313,IGHA1,1586,42,0.07333867329846136,0.10267414261784591,
8,S2,IGHG3,313,IGHA2,40,0,1.0,1.0,
9,S2,IGHG1,1985,IGHG2,96,45,3.5518932416222097e-16,9.945301076542187e-16,*
10,S2,IGHG1,1985,IGHA1,1586,329,1.3961113941297242e-20,4.8863898794540347e-20,*
11,S2,IGHG1,1985,IGHA2,40,3,0.47528751450145995,0.5545021002517033,
12,S2,IGHG2,96,IGHA1,1586,20,0.0019417097769929303,0.0038834195539858606,*
13,S2,IGHG2,96,IGHA2,40,0,1.0,1.0,
0,S4,IGHM,1829,IGHG3,105,30,3.699936110383886e-05,7.259016044983023e-05,*
1,S4,IGHM,1829,IGHG1,854,224,5.592883210834084e-25,3.915018247583859e-24,*
2,S4,IGHM,1829,IGHG2,85,25,9.058136654116736e-05,0.00014090434795292701,*
3,S4,IGHM,1829,IGHA1,1111,204,1.3054998910740791e-06,3.6553996950074213e-06,*
4,S4,IGHM,1829,IGHA2,57,15,0.009481424657555696,0.011061662100481645,*
5,S4,IGHG3,105,IGHG1,854,38,8.579011618993957e-20,3.002654066647885e-19,*
6,S4,IGHG3,105,IGHG2,85,4,0.004166674654065851,0.005303040468811083,*
7,S4,IGHG3,105,IGHA1,1111,24,2.794693480461419e-06,6.520951454409978e-06,*
8,S4,IGHG3,105,IGHA2,57,1,0.3569005666518164,0.3843544563942638,
9,S4,IGHG1,854,IGHG2,85,36,1.541501065273596e-21,7.193671637943448e-21,*
10,S4,IGHG1,854,IGHA1,1111,229,5.698069515949543e-65,7.977297322329359e-64,*
11,S4,IGHG1,854,IGHA2,57,4,0.7809468893137776,0.7809468893137776,
12,S4,IGHG2,85,IGHA1,1111,19,4.148009168561727e-05,7.259016044983023e-05,*
13,S4,IGHG2,85,IGHA2,57,4,0.0004316522751942058,0.0006043131852718881,*
0,S5,IGHM,6913,IGHG3,382,138,8.63381771027181e-08,1.5109180992975668e-07,*
1,S5,IGHM,6913,IGHG1,2246,680,8.815835407063836e-13,2.0570282616482285e-12,*
2,S5,IGHM,6913,IGHG2,171,88,7.564640772950784e-15,2.1180994164262192e-14,*
3,S5,IGHM,6913,IGHA1,3557,1191,2.869709771667105e-43,2.0087968401669735e-42,*
4,S5,IGHM,6913,IGHA2,135,63,1.0922691272568524e-08,2.1845382545137048e-08,*
5,S5,IGHG3,382,IGHG1,2246,98,1.17358230261375e-26,5.4767174121975e-26,*
6,S5,IGHG3,382,IGHG2,171,5,0.07742293099030365,0.09853827580584101,
7,S5,IGHG3,382,IGHA1,3557,53,0.3468769301043363,0.40468975178839234,
8,S5,IGHG3,382,IGHA2,135,1,1.0,1.0,
9,S5,IGHG1,2246,IGHG2,171,62,4.488657425614753e-26,1.5710300989651635e-25,*
10,S5,IGHG1,2246,IGHA1,3557,602,8.395111715443591e-85,1.1753156401621027e-83,*
11,S5,IGHG1,2246,IGHA2,135,12,0.627153161744435,0.6753957126478531,
12,S5,IGHG2,171,IGHA1,3557,39,0.00014690533354153756,0.00022851940773128065,*
13,S5,IGHG2,171,IGHA2,135,3,0.046399620612111704,0.06495946885695639,
0,S6,IGHM,2103,IGHG3,134,29,0.37303214852278366,0.4017269291783824,
1,S6,IGHM,2103,IGHG1,1769,607,1.8550854504729558e-66,2.597119630662138e-65,*
2,S6,IGHM,2103,IGHG2,79,31,1.715143821348657e-05,6.0030033747202996e-05,*
3,S6,IGHM,2103,IGHA1,1219,250,0.08698469289373267,0.13530952227913973,
4,S6,IGHM,2103,IGHA2,30,8,0.24614835697562426,0.2871730831382283,
5,S6,IGHG3,134,IGHG1,1769,44,8.979625740014172e-07,4.190492012006613e-06,*
6,S6,IGHG3,134,IGHG2,79,3,0.0680219727495136,0.1190384523116488,
7,S6,IGHG3,134,IGHA1,1219,24,0.011580468050869309,0.027021092118695054,*
8,S6,IGHG3,134,IGHA2,30,0,1.0,1.0,
9,S6,IGHG1,1769,IGHG2,79,24,0.0009307929304382434,0.0026062202052270817,*
10,S6,IGHG1,1769,IGHA1,1219,298,4.6206551239663767e-17,3.234458586776464e-16,*
11,S6,IGHG1,1769,IGHA2,30,2,0.21496147013551103,0.27358732562701404,
12,S6,IGHG2,79,IGHA1,1219,12,0.2037800650537519,0.27358732562701404,
13,S6,IGHG2,79,IGHA2,30,2,0.018651193794736676,0.03730238758947335,*
0,S7,IGHM,6803,IGHG3,563,218,6.698730300972856e-11,1.4992558145004288e-10,*
1,S7,IGHM,6803,IGHG1,2746,1008,4.437989990842005e-37,2.071061995726269e-36,*
2,S7,IGHM,6803,IGHG2,199,95,7.496279072502144e-11,1.4992558145004288e-10,*
3,S7,IGHM,6803,IGHA1,2181,869,2.191832132129209e-47,1.5342824924904464e-46,*
4,S7,IGHM,6803,IGHA2,78,47,3.119971331597966e-10,4.853288738041281e-10,*
5,S7,IGHG3,563,IGHG1,2746,163,3.727163139268276e-34,1.3045070987438966e-33,*
6,S7,IGHG3,563,IGHG2,199,4,1.0,1.0,
7,S7,IGHG3,563,IGHA1,2181,94,1.521496136410176e-10,2.662618238717808e-10,*
8,S7,IGHG3,563,IGHA2,78,2,0.6878291975860074,0.7407391358618541,
9,S7,IGHG1,2746,IGHG2,199,61,7.683773221607914e-15,2.151456502050216e-14,*
10,S7,IGHG1,2746,IGHA1,2181,635,1.6599094482641634e-141,2.323873227569829e-140,*
11,S7,IGHG1,2746,IGHA2,78,6,0.5784195436954813,0.6748228009780615,
12,S7,IGHG2,199,IGHA1,2181,29,0.004323784665995107,0.00605329853239315,*
13,S7,IGHG2,199,IGHA2,78,3,0.022341539606660604,0.028434686772113495,*
0,S8,IGHM,3702,IGHG3,238,79,7.211541554293192e-05,0.00012620197720013087,*
1,S8,IGHM,3702,IGHG1,1571,497,1.48483121412626e-20,6.929212332589213e-20,*
2,S8,IGHM,3702,IGHG2,158,56,0.00010042521856387405,0.00015621700665491517,*
3,S8,IGHM,3702,IGHA1,1319,404,3.4490941682779574e-14,9.657463671178282e-14,*
4,S8,IGHM,3702,IGHA2,46,14,0.2099165507860999,0.22606397776964604,
5,S8,IGHG3,238,IGHG1,1571,66,2.188915979093263e-16,7.66120592682642e-16,*
6,S8,IGHG3,238,IGHG2,158,7,0.0073003119948675515,0.009291306175285974,*
7,S8,IGHG3,238,IGHA1,1319,34,0.0005937293196157504,0.0008312210474620506,*
8,S8,IGHG3,238,IGHA2,46,0,1.0,1.0,
9,S8,IGHG1,1571,IGHG2,158,65,1.2040389558092569e-26,8.428272690664798e-26,*
10,S8,IGHG1,1571,IGHA1,1319,329,1.2646570415098752e-68,1.7705198581138255e-67,*
11,S8,IGHG1,1571,IGHA2,46,9,0.03547755466835985,0.041390480446419825,*
