,from,to,weight,color,sample
0,IGHA2,IGHG1,0.022789425706472195,2.0,S13
1,IGHA2,IGHA1,0.15952597994530537,2.1118376952683766,S13
2,IGHA2,IGHM,0.15952597994530537,2.0,S13
3,IGHA2,IGHG3,0.0,2.0,S13
4,IGHA2,IGHG2,0.022789425706472195,2.0,S13
5,IGHG2,IGHG1,0.29626253418413856,3.2315584232627748,S13
6,IGHG2,IGHA1,0.15952597994530537,2.0,S13
7,IGHG2,IGHM,0.2506836827711942,2.0,S13
8,IGHG2,IGHG3,0.022789425706472195,2.0,S13
9,IGHG3,IGHG1,0.38742023701002737,2.3714237833899476,S13
10,IGHG3,IGHA1,0.06836827711941659,2.0,S13
11,IGHG3,IGHM,0.34184138559708294,2.0,S13
12,IGHM,IGHG1,3.0537830446672745,2.0,S13
13,IGHM,IGHA1,2.643573381950775,2.0,S13
14,IGHA1,IGHG1,2.780309936189608,16.22352800059246,S13
