,from,to,weight,color,sample
0,IGHA2,IGHG1,0.05350454788657036,2.0,S8
1,IGHA2,IGHA1,0.10700909577314072,8.421547659902771,S8
2,IGHA2,IGHM,0.08322929671244278,2.0,S8
3,IGHA2,IGHG3,0.0,2.0,S8
4,IGHA2,IGHG2,0.035669698591046906,5.367727942082039,S8
5,IGHG2,IGHG1,0.3864217347363415,25.91935946157058,S8
6,IGHG2,IGHA1,0.17240354319006004,4.799583041198,S8
7,IGHG2,IGHM,0.3329171868497711,3.9981572144063318,S8
8,IGHG2,IGHG3,0.04161464835622139,2.136658578957705,S8
9,IGHG3,IGHG1,0.39236668450151596,15.659770908380208,S8
10,IGHG3,IGHA1,0.20212829201593246,3.226411504159798,S8
11,IGHG3,IGHM,0.4696510314487843,4.141971889657095,S8
12,IGHM,IGHG1,2.9546400332917186,19.82832291128934,S8
13,IGHM,IGHA1,2.4017597051304915,13.462294948223159,S8
14,IGHA1,IGHG1,1.9558884727424053,67.89802723351805,S8
