,from,to,weight,color,sample
0,IGHA2,IGHG1,0.017777777777777778,2.0,S6
1,IGHA2,IGHA1,0.10666666666666667,4.477461007063073,S6
2,IGHA2,IGHM,0.07111111111111111,2.0,S6
3,IGHA2,IGHG3,0.0,2.0,S6
4,IGHA2,IGHG2,0.017777777777777778,2.0,S6
5,IGHG2,IGHG1,0.21333333333333335,3.0311469239314803,S6
6,IGHG2,IGHA1,0.10666666666666667,2.0,S6
7,IGHG2,IGHM,0.27555555555555555,4.765699456849847,S6
8,IGHG2,IGHG3,0.02666666666666667,2.0,S6
9,IGHG3,IGHG1,0.39111111111111113,6.0467417638264385,S6
10,IGHG3,IGHA1,0.21333333333333335,2.0,S6
11,IGHG3,IGHM,0.2577777777777778,2.0,S6
12,IGHM,IGHG1,5.395555555555555,65.73163608075828,S6
13,IGHM,IGHA1,2.2222222222222223,2.0,S6
14,IGHA1,IGHG1,2.648888888888889,16.335296445102358,S6
