,from,to,weight,color,sample
0,IGHA2,IGHG1,0.01836210062431142,2.0,S11
1,IGHA2,IGHA1,0.11017260374586853,2.4074481670952395,S11
2,IGHA2,IGHM,0.1652589056188028,3.0580529686587687,S11
3,IGHA2,IGHG3,0.0,2.0,S11
4,IGHA2,IGHG2,0.0,2.0,S11
5,IGHG2,IGHG1,0.0918105031215571,2.0,S11
6,IGHG2,IGHA1,0.1836210062431142,3.482069920631974,S11
7,IGHG2,IGHM,0.20198310686742563,2.0,S11
8,IGHG2,IGHG3,0.01836210062431142,2.0,S11
9,IGHG3,IGHG1,0.1652589056188028,3.7269910909431823,S11
10,IGHG3,IGHA1,0.055086301872934264,2.0,S11
11,IGHG3,IGHM,0.2570694087403599,5.004597196150643,S11
12,IGHM,IGHG1,2.442159383033419,26.336385117468712,S11
13,IGHM,IGHA1,2.185089974293059,16.609473672526114,S11
14,IGHA1,IGHG1,1.7994858611825193,27.57071208890091,S11
