,from,to,weight,color,sample
0,IGHA2,IGHG1,0.04615739672282483,2.0,S12
1,IGHA2,IGHA1,0.11539349180706208,2.7718670450274017,S12
2,IGHA2,IGHM,0.18462958689129932,2.0,S12
3,IGHA2,IGHG3,0.0,2.0,S12
4,IGHA2,IGHG2,0.011539349180706208,2.0,S12
5,IGHG2,IGHG1,0.38079852296330485,12.207434268804302,S12
6,IGHG2,IGHA1,0.19616893607200553,2.801093039904644,S12
7,IGHG2,IGHM,0.23078698361412417,2.0,S12
8,IGHG2,IGHG3,0.03461804754211863,2.0,S12
9,IGHG3,IGHG1,0.5192707131317794,7.202302568469314,S12
10,IGHG3,IGHA1,0.32310177705977383,2.0,S12
11,IGHG3,IGHM,0.48465266558966075,2.0,S12
12,IGHM,IGHG1,3.3464112624048004,3.686777803182738,S12
13,IGHM,IGHA1,3.0117701361643205,2.8707586779512066,S12
14,IGHA1,IGHG1,2.607892914839603,39.86479197459202,S12
