,from,to,weight,color,sample
0,IGHA2,IGHG1,0.026906131234655097,2.0,S10
1,IGHA2,IGHA1,0.10089799212995662,9.623776584426867,S10
2,IGHA2,IGHM,0.11435105774728416,2.9348492498990977,S10
3,IGHA2,IGHG3,0.003363266404331887,2.0,S10
4,IGHA2,IGHG2,0.003363266404331887,2.0,S10
5,IGHG2,IGHG1,0.20179598425991324,28.86698671485974,S10
6,IGHG2,IGHA1,0.12444085696027983,4.580462760149156,S10
7,IGHG2,IGHM,0.2623347795378872,7.983205086273171,S10
8,IGHG2,IGHG3,0.010089799212995661,2.0,S10
9,IGHG3,IGHG1,0.1547102545992668,11.454226448599949,S10
10,IGHG3,IGHA1,0.13789392257760738,2.8524113756468923,S10
11,IGHG3,IGHM,0.32623684122019303,6.7511813377627385,S10
12,IGHM,IGHG1,2.088588437090102,21.270796269407565,S10
13,IGHM,IGHA1,3.316180674671241,21.388289739266444,S10
14,IGHA1,IGHG1,1.520196414758013,76.8097314689402,S10
