,from,to,weight,color,sample
0,IGHA2,IGHG1,0.053763440860215055,2.0,S16
1,IGHA2,IGHA1,0.17473118279569894,5.774211372131232,S16
2,IGHA2,IGHM,0.17473118279569894,2.0,S16
3,IGHA2,IGHG3,0.0,2.0,S16
4,IGHA2,IGHG2,0.0,2.0,S16
5,IGHG2,IGHG1,0.17473118279569894,7.096909061108203,S16
6,IGHG2,IGHA1,0.10752688172043011,2.130314164946364,S16
7,IGHG2,IGHM,0.16129032258064516,2.0,S16
8,IGHG2,IGHG3,0.0,2.0,S16
9,IGHG3,IGHG1,0.1478494623655914,2.0,S16
10,IGHG3,IGHA1,0.053763440860215055,2.0,S16
11,IGHG3,IGHM,0.30913978494623656,2.0,S16
12,IGHM,IGHG1,2.5,6.269730440832723,S16
13,IGHM,IGHA1,2.6881720430107525,2.0,S16
14,IGHA1,IGHG1,0.9274193548387096,5.59817841955455,S16
