,from,to,weight,color,sample
0,IGHA2,IGHG1,0.019448946515397084,2.0,S2
1,IGHA2,IGHA1,0.06482982171799027,2.2151926190485924,S2
2,IGHA2,IGHM,0.11021069692058347,2.0,S2
3,IGHA2,IGHG3,0.0,2.0,S2
4,IGHA2,IGHG2,0.0,2.0,S2
5,IGHG2,IGHG1,0.2917341977309562,15.449540096186148,S2
6,IGHG2,IGHA1,0.12965964343598055,2.7118156825998208,S2
7,IGHG2,IGHM,0.2852512155591572,5.404205412015595,S2
8,IGHG2,IGHG3,0.04538087520259319,2.470829160969927,S2
9,IGHG3,IGHG1,0.8038897893030794,32.585147598538754,S2
10,IGHG3,IGHA1,0.27228525121555913,2.0,S2
11,IGHG3,IGHM,1.0243111831442464,23.12778646961502,S2
12,IGHM,IGHG1,5.413290113452188,77.47926751716605,S2
13,IGHM,IGHA1,2.353322528363047,2.0,S2
14,IGHA1,IGHG1,2.1329011345218802,19.855079928470303,S2
