,from,to,weight,color,sample
0,IGHA2,IGHG1,0.11185682326621924,2.0,S14
1,IGHA2,IGHA1,0.19574944071588368,6.684725721909102,S14
2,IGHA2,IGHM,0.22371364653243847,2.746315491223124,S14
3,IGHA2,IGHG3,0.0,2.0,S14
4,IGHA2,IGHG2,0.02796420581655481,2.0,S14
5,IGHG2,IGHG1,0.4753914988814318,15.489771878091759,S14
6,IGHG2,IGHA1,0.16778523489932887,2.0,S14
7,IGHG2,IGHM,0.18176733780760626,2.0,S14
8,IGHG2,IGHG3,0.013982102908277404,2.0,S14
9,IGHG3,IGHG1,0.3076062639821029,6.550741925738345,S14
10,IGHG3,IGHA1,0.12583892617449666,2.0,S14
11,IGHG3,IGHM,0.41946308724832215,4.313165462275964,S14
12,IGHM,IGHG1,3.425615212527964,11.176242772670982,S14
13,IGHM,IGHA1,2.3629753914988814,2.7881351688494265,S14
14,IGHA1,IGHG1,2.4328859060402683,41.52574618884276,S14
