,from,to,weight,color,sample
0,IGHA2,IGHG1,0.025242963523917708,2.0,S15
1,IGHA2,IGHA1,0.1640792629054651,5.8549866146267595,S15
2,IGHA2,IGHM,0.10097185409567083,2.0,S15
3,IGHA2,IGHG3,0.0,2.0,S15
4,IGHA2,IGHG2,0.0,2.0,S15
5,IGHG2,IGHG1,0.11359333585762968,2.0,S15
6,IGHG2,IGHA1,0.12621481761958853,2.3849213092904105,S15
7,IGHG2,IGHM,0.1640792629054651,2.0,S15
8,IGHG2,IGHG3,0.025242963523917708,2.0,S15
9,IGHG3,IGHG1,0.429130379906601,11.53085274700159,S15
10,IGHG3,IGHA1,0.08835037233371197,2.0,S15
11,IGHG3,IGHM,0.34078000757288907,2.0,S15
12,IGHM,IGHG1,3.8116874921115738,19.82055201178857,S15
13,IGHM,IGHA1,2.410703016534141,3.3060838564962793,S15
14,IGHA1,IGHG1,1.9563296731036224,14.863320111686601,S15
